,windDirection,probabilityOfPrecipitation_percent,dewpoint_degC,relativeHumidity_percent,temperature_F,windSpeed_mph,timestamp
0,SE,0,0.5555555555555556,63,45,6,2023-10-25 06:00:00+00:00
1,SE,0,0.0,62,44,6,2023-10-25 07:00:00+00:00
2,SE,0,-0.5555555555555556,59,44,6,2023-10-25 08:00:00+00:00
3,S,0,-1.1111111111111112,59,43,7,2023-10-25 09:00:00+00:00
4,S,0,-1.1111111111111112,60,43,6,2023-10-25 10:00:00+00:00
5,S,0,-1.1111111111111112,60,43,6,2023-10-25 11:00:00+00:00
6,S,0,-1.1111111111111112,61,43,6,2023-10-25 12:00:00+00:00
7,S,0,-1.1111111111111112,59,44,6,2023-10-25 13:00:00+00:00
8,S,0,-0.5555555555555556,55,46,6,2023-10-25 14:00:00+00:00
9,S,0,-0.5555555555555556,42,54,7,2023-10-25 15:00:00+00:00
10,S,0,-0.5555555555555556,35,59,7,2023-10-25 16:00:00+00:00
11,S,0,0.0,30,64,7,2023-10-25 17:00:00+00:00
