,windDirection,probabilityOfPrecipitation_percent,dewpoint_degC,relativeHumidity_percent,temperature_F,windSpeed_mph,timestamp
0,180,0,8.333333333333334,72,56,7,2023-11-09 02:00:00+00:00
1,180,0,8.333333333333334,73,55,7,2023-11-09 03:00:00+00:00
2,225,0,7.777777777777778,73,54,7,2023-11-09 04:00:00+00:00
3,225,0,7.222222222222222,74,54,7,2023-11-09 05:00:00+00:00
4,225,0,7.222222222222222,74,53,7,2023-11-09 06:00:00+00:00
5,270,0,6.666666666666667,73,52,7,2023-11-09 07:00:00+00:00
6,270,0,6.666666666666667,70,53,8,2023-11-09 08:00:00+00:00
7,270,0,6.666666666666667,69,54,12,2023-11-09 09:00:00+00:00
8,270,1,7.222222222222222,68,55,15,2023-11-09 10:00:00+00:00
9,270,2,7.777777777777778,70,55,16,2023-11-09 11:00:00+00:00
10,270,2,8.333333333333334,76,55,16,2023-11-09 12:00:00+00:00
11,270,10,9.444444444444445,79,55,17,2023-11-09 13:00:00+00:00
12,270,9,10.0,81,56,17,2023-11-09 14:00:00+00:00
13,270,9,11.11111111111111,80,58,18,2023-11-09 15:00:00+00:00
14,270,8,11.666666666666666,76,61,18,2023-11-09 16:00:00+00:00
15,270,7,11.666666666666666,72,62,17,2023-11-09 17:00:00+00:00
16,270,7,12.222222222222221,72,63,17,2023-11-09 18:00:00+00:00
17,270,6,12.222222222222221,71,64,16,2023-11-09 19:00:00+00:00
18,270,7,12.222222222222221,71,64,16,2023-11-09 20:00:00+00:00
19,270,6,12.222222222222221,72,64,15,2023-11-09 21:00:00+00:00
20,270,7,12.222222222222221,73,63,15,2023-11-09 22:00:00+00:00
21,270,11,12.222222222222221,76,61,14,2023-11-09 23:00:00+00:00
22,315,9,11.666666666666666,81,59,13,2023-11-10 00:00:00+00:00
23,315,22,11.666666666666666,86,58,12,2023-11-10 01:00:00+00:00
24,315,24,11.11111111111111,88,56,10,2023-11-10 02:00:00+00:00
25,315,26,11.11111111111111,91,55,9,2023-11-10 03:00:00+00:00
26,315,27,11.11111111111111,93,54,9,2023-11-10 04:00:00+00:00
27,315,29,10.0,92,53,9,2023-11-10 05:00:00+00:00
28,315,31,9.444444444444445,89,52,9,2023-11-10 06:00:00+00:00
29,315,33,8.88888888888889,87,52,8,2023-11-10 07:00:00+00:00
30,315,38,8.333333333333334,86,51,8,2023-11-10 08:00:00+00:00
31,315,44,8.333333333333334,85,51,8,2023-11-10 09:00:00+00:00
32,315,50,7.777777777777778,85,50,8,2023-11-10 10:00:00+00:00
33,315,56,7.222222222222222,84,49,8,2023-11-10 11:00:00+00:00
34,315,62,6.666666666666667,84,48,8,2023-11-10 12:00:00+00:00
35,315,68,6.111111111111111,84,48,8,2023-11-10 13:00:00+00:00
36,315,68,6.111111111111111,85,47,7,2023-11-10 14:00:00+00:00
37,0,67,6.666666666666667,86,48,7,2023-11-10 15:00:00+00:00
38,0,66,6.666666666666667,86,48,7,2023-11-10 16:00:00+00:00
39,0,65,6.111111111111111,85,48,7,2023-11-10 17:00:00+00:00
40,0,63,6.111111111111111,84,47,6,2023-11-10 18:00:00+00:00
41,0,63,5.555555555555555,82,47,6,2023-11-10 19:00:00+00:00
42,0,59,5.555555555555555,83,46,6,2023-11-10 20:00:00+00:00
43,0,53,5.0,85,46,6,2023-11-10 21:00:00+00:00
