,probabilityOfPrecipitation_percent,dewpoint_degC,relativeHumidity_percent,temperature_F,windSpeed_mph,timestamp,windDirection_x,windDirection_y,windSpeed_knots
0,0,-2.2222222222222223,41,51,5,2023-11-11 19:00:00+00:00,0.7071067811865476,0.7071067811865476,4
1,0,-2.2222222222222223,40,52,5,2023-11-11 20:00:00+00:00,1.0,0.0,4
2,0,-2.2222222222222223,41,51,5,2023-11-11 21:00:00+00:00,1.0,0.0,4
3,0,-2.2222222222222223,41,50,5,2023-11-11 22:00:00+00:00,1.0,0.0,4
4,0,-2.2222222222222223,44,49,6,2023-11-11 23:00:00+00:00,1.0,0.0,5
5,0,-2.7777777777777777,52,44,5,2023-11-12 00:00:00+00:00,1.0,0.0,4
6,0,-0.5555555555555556,65,42,3,2023-11-12 01:00:00+00:00,1.0,0.0,3
7,0,-1.1111111111111112,68,40,2,2023-11-12 02:00:00+00:00,1.0,0.0,2
8,0,-0.5555555555555556,70,39,3,2023-11-12 03:00:00+00:00,1.0,0.0,3
9,0,-1.1111111111111112,72,39,5,2023-11-12 04:00:00+00:00,1.0,0.0,4
10,1,-1.1111111111111112,72,38,5,2023-11-12 05:00:00+00:00,1.0,0.0,4
11,4,-1.1111111111111112,75,37,3,2023-11-12 06:00:00+00:00,1.0,0.0,3
12,8,-1.1111111111111112,75,37,5,2023-11-12 07:00:00+00:00,1.0,0.0,4
13,8,-1.1111111111111112,75,37,5,2023-11-12 08:00:00+00:00,1.0,0.0,4
14,8,-1.1111111111111112,76,37,5,2023-11-12 09:00:00+00:00,1.0,0.0,4
15,10,-0.5555555555555556,79,37,5,2023-11-12 10:00:00+00:00,1.0,0.0,4
16,6,-1.1111111111111112,77,36,5,2023-11-12 11:00:00+00:00,1.0,0.0,4
17,15,-1.1111111111111112,79,36,5,2023-11-12 12:00:00+00:00,1.0,0.0,4
18,15,-1.1111111111111112,81,36,2,2023-11-12 13:00:00+00:00,0.7071067811865476,0.7071067811865476,2
19,13,0.0,85,36,2,2023-11-12 14:00:00+00:00,0.7071067811865476,0.7071067811865476,2
20,5,1.1111111111111112,78,40,3,2023-11-12 15:00:00+00:00,1.0,0.0,3
21,4,1.6666666666666667,74,42,6,2023-11-12 16:00:00+00:00,1.0,0.0,5
22,3,1.6666666666666667,64,46,6,2023-11-12 17:00:00+00:00,1.0,0.0,5
23,1,2.2222222222222223,62,49,5,2023-11-12 18:00:00+00:00,0.7071067811865476,-0.7071067811865476,4
24,1,2.7777777777777777,61,50,5,2023-11-12 19:00:00+00:00,0.7071067811865476,0.7071067811865476,4
25,1,2.7777777777777777,57,51,5,2023-11-12 20:00:00+00:00,0.0,-1.0,4
26,1,2.7777777777777777,59,51,5,2023-11-12 21:00:00+00:00,0.0,-1.0,4
27,1,3.3333333333333335,61,50,5,2023-11-12 22:00:00+00:00,0.7071067811865476,-0.7071067811865476,4
28,1,2.7777777777777777,65,48,5,2023-11-12 23:00:00+00:00,0.7071067811865476,-0.7071067811865476,4
29,1,2.2222222222222223,76,43,3,2023-11-13 00:00:00+00:00,0.7071067811865476,-0.7071067811865476,3
30,0,2.2222222222222223,85,40,2,2023-11-13 01:00:00+00:00,0.0,-1.0,2
31,0,1.6666666666666667,87,39,1,2023-11-13 02:00:00+00:00,0.0,-1.0,1
32,0,1.6666666666666667,90,38,1,2023-11-13 03:00:00+00:00,0.0,-1.0,1
33,0,1.6666666666666667,92,37,0,2023-11-13 04:00:00+00:00,0.0,-1.0,0
