,windDirection,probabilityOfPrecipitation_percent,dewpoint_degC,relativeHumidity_percent,temperature_F,windSpeed_mph,timestamp
0,NW,4,-11.11111111111111,52,27,23,2023-11-01 13:00:00+00:00
1,NW,2,-10.555555555555555,61,25,23,2023-11-01 14:00:00+00:00
2,NW,1,-10.0,68,24,23,2023-11-01 15:00:00+00:00
3,NW,1,-10.0,60,26,21,2023-11-01 16:00:00+00:00
4,NW,1,-10.0,53,29,20,2023-11-01 17:00:00+00:00
5,NW,1,-10.555555555555555,47,31,18,2023-11-01 18:00:00+00:00
6,NW,1,-10.555555555555555,42,33,18,2023-11-01 19:00:00+00:00
7,NW,1,-11.11111111111111,40,34,17,2023-11-01 20:00:00+00:00
8,NW,1,-10.555555555555555,40,35,16,2023-11-01 21:00:00+00:00
9,NW,1,-10.555555555555555,40,34,16,2023-11-01 22:00:00+00:00
10,NW,1,-11.11111111111111,42,32,14,2023-11-01 23:00:00+00:00
11,NW,1,-11.11111111111111,47,30,13,2023-11-02 00:00:00+00:00
