,number,name,startTime,endTime,isDaytime,temperature,temperatureUnit,temperatureTrend,probabilityOfPrecipitation,dewpoint,relativeHumidity,windSpeed,windDirection,icon,shortForecast,detailedForecast
0,1,,2023-12-03T16:00:00-05:00,2023-12-03T17:00:00-05:00,True,52,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 5.555555555555555}","{'unitCode': 'wmoUnit:percent', 'value': 67}",21 mph,W,"https://api.weather.gov/icons/land/day/wind_bkn,0?size=small",Partly Sunny,
1,2,,2023-12-03T17:00:00-05:00,2023-12-03T18:00:00-05:00,True,50,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': 5}","{'unitCode': 'wmoUnit:percent', 'value': 70}",22 mph,W,"https://api.weather.gov/icons/land/day/wind_bkn,1?size=small",Partly Sunny,
2,3,,2023-12-03T18:00:00-05:00,2023-12-03T19:00:00-05:00,False,48,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': 4.444444444444445}","{'unitCode': 'wmoUnit:percent', 'value': 76}",21 mph,W,"https://api.weather.gov/icons/land/night/wind_bkn,1?size=small",Mostly Cloudy,
3,4,,2023-12-03T19:00:00-05:00,2023-12-03T20:00:00-05:00,False,46,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 4.444444444444445}","{'unitCode': 'wmoUnit:percent', 'value': 79}",22 mph,W,"https://api.weather.gov/icons/land/night/wind_bkn,0?size=small",Mostly Cloudy,
4,5,,2023-12-03T20:00:00-05:00,2023-12-03T21:00:00-05:00,False,45,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 3.888888888888889}","{'unitCode': 'wmoUnit:percent', 'value': 79}",22 mph,W,"https://api.weather.gov/icons/land/night/wind_bkn,0?size=small",Mostly Cloudy,
5,6,,2023-12-03T21:00:00-05:00,2023-12-03T22:00:00-05:00,False,43,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 3.3333333333333335}","{'unitCode': 'wmoUnit:percent', 'value': 80}",23 mph,W,"https://api.weather.gov/icons/land/night/wind_bkn,0?size=small",Mostly Cloudy,
6,7,,2023-12-03T22:00:00-05:00,2023-12-03T23:00:00-05:00,False,42,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 2.2222222222222223}","{'unitCode': 'wmoUnit:percent', 'value': 79}",22 mph,NW,"https://api.weather.gov/icons/land/night/wind_bkn,0?size=small",Mostly Cloudy,
7,8,,2023-12-03T23:00:00-05:00,2023-12-04T00:00:00-05:00,False,41,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 2.2222222222222223}","{'unitCode': 'wmoUnit:percent', 'value': 82}",20 mph,NW,"https://api.weather.gov/icons/land/night/bkn,0?size=small",Mostly Cloudy,
8,9,,2023-12-04T00:00:00-05:00,2023-12-04T01:00:00-05:00,False,40,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 1.6666666666666667}","{'unitCode': 'wmoUnit:percent', 'value': 82}",17 mph,NW,"https://api.weather.gov/icons/land/night/bkn,0?size=small",Mostly Cloudy,
9,10,,2023-12-04T01:00:00-05:00,2023-12-04T02:00:00-05:00,False,38,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 1.1111111111111112}","{'unitCode': 'wmoUnit:percent', 'value': 83}",16 mph,NW,"https://api.weather.gov/icons/land/night/bkn,0?size=small",Mostly Cloudy,
10,11,,2023-12-04T02:00:00-05:00,2023-12-04T03:00:00-05:00,False,37,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 0.5555555555555556}","{'unitCode': 'wmoUnit:percent', 'value': 83}",14 mph,W,"https://api.weather.gov/icons/land/night/sct,0?size=small",Partly Cloudy,
11,12,,2023-12-04T03:00:00-05:00,2023-12-04T04:00:00-05:00,False,36,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 0}","{'unitCode': 'wmoUnit:percent', 'value': 85}",12 mph,W,"https://api.weather.gov/icons/land/night/sct,0?size=small",Partly Cloudy,
12,13,,2023-12-04T04:00:00-05:00,2023-12-04T05:00:00-05:00,False,35,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 0}","{'unitCode': 'wmoUnit:percent', 'value': 86}",10 mph,W,"https://api.weather.gov/icons/land/night/sct,0?size=small",Partly Cloudy,
13,14,,2023-12-04T05:00:00-05:00,2023-12-04T06:00:00-05:00,False,34,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -1.1111111111111112}","{'unitCode': 'wmoUnit:percent', 'value': 83}",8 mph,W,"https://api.weather.gov/icons/land/night/sct,0?size=small",Partly Cloudy,
14,15,,2023-12-04T06:00:00-05:00,2023-12-04T07:00:00-05:00,True,34,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -1.6666666666666667}","{'unitCode': 'wmoUnit:percent', 'value': 81}",7 mph,W,"https://api.weather.gov/icons/land/day/sct,0?size=small",Mostly Sunny,
15,16,,2023-12-04T07:00:00-05:00,2023-12-04T08:00:00-05:00,True,34,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -2.7777777777777777}","{'unitCode': 'wmoUnit:percent', 'value': 76}",7 mph,W,"https://api.weather.gov/icons/land/day/sct,0?size=small",Mostly Sunny,
16,17,,2023-12-04T08:00:00-05:00,2023-12-04T09:00:00-05:00,True,35,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -3.3333333333333335}","{'unitCode': 'wmoUnit:percent', 'value': 70}",6 mph,W,"https://api.weather.gov/icons/land/day/bkn,0?size=small",Partly Sunny,
17,18,,2023-12-04T09:00:00-05:00,2023-12-04T10:00:00-05:00,True,39,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -3.3333333333333335}","{'unitCode': 'wmoUnit:percent', 'value': 60}",6 mph,W,"https://api.weather.gov/icons/land/day/bkn,0?size=small",Partly Sunny,
18,19,,2023-12-04T10:00:00-05:00,2023-12-04T11:00:00-05:00,True,43,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': -3.3333333333333335}","{'unitCode': 'wmoUnit:percent', 'value': 51}",7 mph,SW,"https://api.weather.gov/icons/land/day/bkn,1?size=small",Partly Sunny,
19,20,,2023-12-04T11:00:00-05:00,2023-12-04T12:00:00-05:00,True,46,F,,"{'unitCode': 'wmoUnit:percent', 'value': 2}","{'unitCode': 'wmoUnit:degC', 'value': -3.3333333333333335}","{'unitCode': 'wmoUnit:percent', 'value': 44}",8 mph,SW,"https://api.weather.gov/icons/land/day/bkn,2?size=small",Mostly Cloudy,
20,21,,2023-12-04T12:00:00-05:00,2023-12-04T13:00:00-05:00,True,47,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -3.888888888888889}","{'unitCode': 'wmoUnit:percent', 'value': 42}",10 mph,SW,"https://api.weather.gov/icons/land/day/bkn,0?size=small",Partly Sunny,
21,22,,2023-12-04T13:00:00-05:00,2023-12-04T14:00:00-05:00,True,48,F,,"{'unitCode': 'wmoUnit:percent', 'value': 16}","{'unitCode': 'wmoUnit:degC', 'value': -3.3333333333333335}","{'unitCode': 'wmoUnit:percent', 'value': 41}",12 mph,W,"https://api.weather.gov/icons/land/day/rain_showers,16?size=small",Slight Chance Rain Showers,
22,23,,2023-12-04T14:00:00-05:00,2023-12-04T15:00:00-05:00,True,48,F,,"{'unitCode': 'wmoUnit:percent', 'value': 25}","{'unitCode': 'wmoUnit:degC', 'value': -1.6666666666666667}","{'unitCode': 'wmoUnit:percent', 'value': 47}",14 mph,W,"https://api.weather.gov/icons/land/day/rain_showers,25?size=small",Chance Rain Showers,
23,24,,2023-12-04T15:00:00-05:00,2023-12-04T16:00:00-05:00,True,45,F,,"{'unitCode': 'wmoUnit:percent', 'value': 34}","{'unitCode': 'wmoUnit:degC', 'value': -0.5555555555555556}","{'unitCode': 'wmoUnit:percent', 'value': 57}",14 mph,W,"https://api.weather.gov/icons/land/day/rain_showers,34?size=small",Chance Rain Showers,
24,25,,2023-12-04T16:00:00-05:00,2023-12-04T17:00:00-05:00,True,42,F,,"{'unitCode': 'wmoUnit:percent', 'value': 34}","{'unitCode': 'wmoUnit:degC', 'value': 0.5555555555555556}","{'unitCode': 'wmoUnit:percent', 'value': 69}",15 mph,W,"https://api.weather.gov/icons/land/day/rain_showers,34?size=small",Chance Rain Showers,
25,26,,2023-12-04T17:00:00-05:00,2023-12-04T18:00:00-05:00,True,40,F,,"{'unitCode': 'wmoUnit:percent', 'value': 39}","{'unitCode': 'wmoUnit:degC', 'value': 0}","{'unitCode': 'wmoUnit:percent', 'value': 73}",16 mph,W,"https://api.weather.gov/icons/land/day/rain_showers,39?size=small",Chance Rain Showers,
26,27,,2023-12-04T18:00:00-05:00,2023-12-04T19:00:00-05:00,False,39,F,,"{'unitCode': 'wmoUnit:percent', 'value': 39}","{'unitCode': 'wmoUnit:degC', 'value': 0.5555555555555556}","{'unitCode': 'wmoUnit:percent', 'value': 80}",17 mph,NW,"https://api.weather.gov/icons/land/night/rain_showers,39?size=small",Chance Rain Showers,
27,28,,2023-12-04T19:00:00-05:00,2023-12-04T20:00:00-05:00,False,38,F,,"{'unitCode': 'wmoUnit:percent', 'value': 11}","{'unitCode': 'wmoUnit:degC', 'value': 0.5555555555555556}","{'unitCode': 'wmoUnit:percent', 'value': 82}",17 mph,NW,"https://api.weather.gov/icons/land/night/bkn,11?size=small",Mostly Cloudy,
28,29,,2023-12-04T20:00:00-05:00,2023-12-04T21:00:00-05:00,False,38,F,,"{'unitCode': 'wmoUnit:percent', 'value': 11}","{'unitCode': 'wmoUnit:degC', 'value': 0.5555555555555556}","{'unitCode': 'wmoUnit:percent', 'value': 83}",17 mph,NW,"https://api.weather.gov/icons/land/night/bkn,11?size=small",Mostly Cloudy,
29,30,,2023-12-04T21:00:00-05:00,2023-12-04T22:00:00-05:00,False,37,F,,"{'unitCode': 'wmoUnit:percent', 'value': 11}","{'unitCode': 'wmoUnit:degC', 'value': 0.5555555555555556}","{'unitCode': 'wmoUnit:percent', 'value': 85}",17 mph,NW,"https://api.weather.gov/icons/land/night/bkn,11?size=small",Mostly Cloudy,
30,31,,2023-12-04T22:00:00-05:00,2023-12-04T23:00:00-05:00,False,36,F,,"{'unitCode': 'wmoUnit:percent', 'value': 11}","{'unitCode': 'wmoUnit:degC', 'value': 0.5555555555555556}","{'unitCode': 'wmoUnit:percent', 'value': 87}",16 mph,NW,"https://api.weather.gov/icons/land/night/bkn,11?size=small",Mostly Cloudy,
31,32,,2023-12-04T23:00:00-05:00,2023-12-05T00:00:00-05:00,False,36,F,,"{'unitCode': 'wmoUnit:percent', 'value': 10}","{'unitCode': 'wmoUnit:degC', 'value': 0.5555555555555556}","{'unitCode': 'wmoUnit:percent', 'value': 88}",15 mph,NW,"https://api.weather.gov/icons/land/night/bkn,10?size=small",Mostly Cloudy,
32,33,,2023-12-05T00:00:00-05:00,2023-12-05T01:00:00-05:00,False,36,F,,"{'unitCode': 'wmoUnit:percent', 'value': 10}","{'unitCode': 'wmoUnit:degC', 'value': 0}","{'unitCode': 'wmoUnit:percent', 'value': 88}",14 mph,NW,"https://api.weather.gov/icons/land/night/bkn,10?size=small",Mostly Cloudy,
33,34,,2023-12-05T01:00:00-05:00,2023-12-05T02:00:00-05:00,False,35,F,,"{'unitCode': 'wmoUnit:percent', 'value': 10}","{'unitCode': 'wmoUnit:degC', 'value': 0}","{'unitCode': 'wmoUnit:percent', 'value': 89}",13 mph,NW,"https://api.weather.gov/icons/land/night/bkn,10?size=small",Mostly Cloudy,
34,35,,2023-12-05T02:00:00-05:00,2023-12-05T03:00:00-05:00,False,34,F,,"{'unitCode': 'wmoUnit:percent', 'value': 8}","{'unitCode': 'wmoUnit:degC', 'value': 0}","{'unitCode': 'wmoUnit:percent', 'value': 90}",12 mph,NW,"https://api.weather.gov/icons/land/night/bkn,8?size=small",Mostly Cloudy,
35,36,,2023-12-05T03:00:00-05:00,2023-12-05T04:00:00-05:00,False,34,F,,"{'unitCode': 'wmoUnit:percent', 'value': 6}","{'unitCode': 'wmoUnit:degC', 'value': 0}","{'unitCode': 'wmoUnit:percent', 'value': 92}",10 mph,NW,"https://api.weather.gov/icons/land/night/bkn,6?size=small",Mostly Cloudy,
36,37,,2023-12-05T04:00:00-05:00,2023-12-05T05:00:00-05:00,False,33,F,,"{'unitCode': 'wmoUnit:percent', 'value': 5}","{'unitCode': 'wmoUnit:degC', 'value': -0.5555555555555556}","{'unitCode': 'wmoUnit:percent', 'value': 93}",9 mph,NW,"https://api.weather.gov/icons/land/night/sct,5?size=small",Partly Cloudy,
37,38,,2023-12-05T05:00:00-05:00,2023-12-05T06:00:00-05:00,False,32,F,,"{'unitCode': 'wmoUnit:percent', 'value': 3}","{'unitCode': 'wmoUnit:degC', 'value': -0.5555555555555556}","{'unitCode': 'wmoUnit:percent', 'value': 94}",8 mph,W,"https://api.weather.gov/icons/land/night/sct,3?size=small",Partly Cloudy,
38,39,,2023-12-05T06:00:00-05:00,2023-12-05T07:00:00-05:00,True,31,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': -1.1111111111111112}","{'unitCode': 'wmoUnit:percent', 'value': 94}",8 mph,W,"https://api.weather.gov/icons/land/day/sct,1?size=small",Mostly Sunny,
